DEPT,NPHI,SP,DT,GR,CALI,RHOB,Deep_RS,RS,source
1268.0,58.478,-59.9979,143.6756,61.6657,10.5136,1.8273,4.6447,7.5509,las_2_df
1268.5,59.2127,-58.2083,133.0717,64.2292,10.7095,1.762,10.2542,8.8587,las_2_df
1269.0,59.866,-54.6182,119.9588,64.9464,11.0733,1.7392,30.0874,9.965,las_2_df
1269.5,59.8573,-51.4263,115.2573,64.5629,12.3102,1.7727,49.9206,10.4007,las_2_df
1270.0,59.8486,-48.2594,117.9865,63.8467,13.9247,1.872,355.8461,10.7133,las_2_df
1270.5,59.84,-46.1801,123.5967,63.4384,15.283,1.9303,40.6542,10.7509,las_2_df
1271.0,59.8313,-45.193,127.164,63.9754,15.8168,2.0442,10.5829,10.6233,las_2_df
1271.5,58.7595,-44.4299,125.5043,64.3668,16.493,2.0552,9.6731,10.401,las_2_df
1272.0,59.8783,-43.6056,121.0303,64.8287,16.5497,2.0944,9.1167,10.1787,las_2_df
1272.5,59.8718,-42.6633,117.4655,65.3882,16.4341,2.1513,8.4265,9.931,las_2_df
1273.0,59.8653,-41.8168,116.3658,65.9502,16.828,2.1583,8.1987,9.632,las_2_df
1273.5,59.8589,-41.3542,115.0276,67.1372,17.3458,2.1161,9.8241,9.3329,las_2_df
1274.0,59.8524,-41.3074,112.3754,68.6051,17.5271,2.0452,12.8989,9.0339,las_2_df
1274.5,59.8459,-41.0654,112.2053,70.4442,17.355,1.7914,12.3279,8.8324,las_2_df
1275.0,59.8001,-40.7514,113.2483,72.8215,16.989,1.6737,10.1221,8.7049,las_2_df
1275.5,58.7741,-40.5626,114.4443,75.6969,15.7695,1.6253,9.1731,8.5775,las_2_df
1276.0,59.1591,-40.472,115.8499,79.633,13.1396,1.7147,8.2241,8.4535,las_2_df
1276.5,60.0287,-40.1767,116.9852,83.885,11.4561,1.8176,7.7231,8.3411,las_2_df
1277.0,58.8642,-39.9805,118.4112,85.1209,10.9489,1.885,7.8398,8.2286,las_2_df
1277.5,56.65,-39.8048,120.0885,84.321,10.8234,1.9088,8.1079,8.1759,las_2_df
1278.0,55.9872,-39.3538,124.0274,82.0633,10.7044,1.8728,8.2769,8.2984,las_2_df
1278.5,53.6009,-38.6696,127.4804,79.6604,10.9089,1.8117,8.3751,8.421,las_2_df
